Index,B cells,Epithelial cells,Mast cells,Myeloids,Stromal cells,T cells
LINC01602,0.00017043645,0.009293921,0.012853649,0.00022715109,0.00020670373,5.2872558e-05
LINC01607,0.0005558034,0.011560902,0.0067250594,0.00032748605,0.001954255,6.2850566e-05
LINC01612,0.001056151,0.043932155,0.007383197,0.0003799172,0.001622035,9.898383e-05
LINC01615,0.00032933056,0.02315184,0.011043468,0.00043290012,0.064626746,5.7130623e-05
LINGO1,0.00016606053,0.004584285,0.007288524,0.0004102981,0.04585003,5.9644666e-05
LINGO3,0.0021970845,0.0003619068,0.01275114,0.0032259175,0.00034236955,0.00046256033
LINGO4,0.0001376292,0.00042299155,0.006753735,0.00020637608,0.00023265922,0.00029844724
LINS1,0.04906797,0.08591137,0.014549044,0.017790327,0.046674795,0.07264651
LIPA,0.07531637,0.3145498,0.06852836,1.3079568,0.39384145,0.07504788
LIPC,0.00017247332,0.008805565,0.027308758,0.0008353749,0.008343077,0.00050846604
LIPE,0.006225879,0.04437117,0.022726456,0.00044653527,0.026442582,0.0068146293
LIPE-AS1,0.009012867,0.070137896,0.015102033,0.035881206,0.03518076,0.012504367
LIPG,0.002677274,0.47545516,0.0062250495,0.0019654823,0.058764577,0.00041297448
LIPH,0.0067310478,1.1402761,0.006725609,0.0062014526,0.010482835,0.00093011506
LIPJ,0.00021236292,0.00033743956,0.0083505735,0.00024883865,0.00025548186,5.4871118e-05
LIPT1,0.010891425,0.08451282,0.008751041,0.005675258,0.042575814,0.0074420716
LIPT2,0.0029506597,0.034572776,0.00689755,0.00080412294,0.0014465775,0.00087008375
LITAF,0.83632094,1.4703695,0.79389226,4.886151,2.6074762,0.93654984
LIX1L,0.055663384,0.030090779,0.018414162,0.102276586,0.37719545,0.06878998
LKAAEAR1,0.0015979606,0.00025328787,0.011431682,0.007188167,0.0064864587,0.0004181401
LLGL1,0.0026210544,0.06021851,0.008919928,0.003582534,0.075678855,0.008553069
LLGL2,0.07032871,2.3769398,0.009872003,0.035757232,0.043125972,0.029221242
LLPH,0.18055983,0.98632586,0.097819075,0.24862608,0.38704172,0.1750359
LMAN1,1.1933672,1.0951896,0.09978911,0.26982203,1.0994382,0.12911732
LMAN2,1.9047229,3.2330308,0.2672391,0.85988706,1.4374207,0.4010328
LMAN2L,0.008084631,0.110277236,0.010669469,0.0134775,0.07949126,0.0039114184
LMBR1,0.024031928,0.29337734,0.006181299,0.028609063,0.12773582,0.016733333
LMBR1L,0.09444705,0.1707282,0.042622816,0.07448044,0.22375543,0.08635898
LMBRD1,0.20135146,0.4223089,0.06749236,0.2045153,0.28831753,0.0822507
LMBRD2,0.01631172,0.08421943,0.019629145,0.029719055,0.047246505,0.0061813802
LMCD1,0.019301072,0.20328705,0.010514288,0.004028892,1.2503921,0.016903656
LMCD1-AS1,0.0007066982,0.0041948287,0.0065554758,0.00017804842,0.004554587,6.135502e-05
LMF1,0.10450857,0.0724226,0.015176723,0.021755628,0.0923938,0.007933071
LMF1-AS1,0.00014297056,6.753578e-05,0.00693034,0.00017062831,0.0029726152,4.9253864e-05
LMF2,0.1914792,0.3558074,0.023142887,0.1403514,0.4966365,0.082640834
